service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3437,0,0,1,1,0,0,0,2017/11/01,2017/11/02
3429,1,1,1,1,0,0,0,2017/09/11,2017/09/21
3440,0,0,0,0,1,1,1,2017/11/03,2017/11/26
3442,0,0,0,0,1,1,0,2017/12/01,2017/12/02
3435,0,0,0,0,1,1,0,2017/10/20,2017/10/28
3468,1,1,1,1,1,0,1,2017/11/01,2017/12/01
3455,0,0,0,0,0,0,1,2017/09/10,2017/10/29
3460,0,0,0,0,0,1,1,2017/09/03,2017/12/02
3371,1,1,1,1,1,0,0,2017/10/23,2017/12/01
3466,1,1,1,1,1,0,1,2017/09/05,2017/10/19
3370,1,0,0,0,0,0,0,2017/09/05,2017/09/25
2383,0,1,1,1,1,0,0,2017/10/03,2017/10/20
2384,0,1,1,1,1,0,0,2017/09/12,2017/09/29
3376,0,0,0,0,0,0,1,2017/09/10,2017/11/26
3467,1,1,1,1,1,0,1,2017/10/20,2017/10/31
1332,0,0,0,0,0,0,1,2017/09/03,2017/09/04
3470,0,0,0,0,0,1,0,2017/09/09,2017/12/02
3385,1,1,1,1,1,1,0,2017/11/01,2017/12/02
2125,1,1,1,1,1,1,0,2017/09/05,2017/12/02
3383,1,1,1,1,1,1,0,2017/09/05,2017/10/19
3384,1,1,1,1,1,1,0,2017/10/20,2017/10/31
3448,1,1,1,1,1,0,0,2017/10/20,2017/10/31
3450,1,1,1,1,0,0,0,2017/11/13,2017/11/23
3416,0,0,0,0,0,0,1,2017/10/02,2017/10/15
3449,1,1,1,1,1,0,0,2017/11/02,2017/11/12
3400,1,1,1,1,1,0,0,2017/11/06,2017/11/30
3457,1,1,1,1,1,0,0,2017/09/04,2017/12/01
17490,0,0,0,0,0,1,0,2017/09/09,2017/12/02
17491,1,1,1,1,1,0,0,2017/09/05,2017/09/29
17492,1,1,1,1,1,1,0,2017/10/02,2017/10/19
3401,0,0,0,0,0,1,0,2017/11/13,2017/11/25
3399,1,1,1,1,1,1,0,2017/09/05,2017/10/19
3454,0,0,0,0,0,0,1,2017/09/10,2017/10/15
3471,1,1,1,1,0,0,0,2017/09/05,2017/10/12
3476,0,0,0,0,1,0,0,2017/10/20,2017/10/27
3473,0,0,0,0,1,1,1,2017/10/02,2017/10/13
3426,1,1,1,1,1,0,0,2017/10/02,2017/10/08
3472,1,1,1,1,0,0,0,2017/10/16,2017/10/31
3474,0,0,0,0,0,1,1,2017/10/15,2017/10/29
395,1,1,1,1,1,0,0,2017/09/04,2017/09/08
3417,0,0,1,0,1,0,0,2017/11/29,2017/12/01
3480,0,0,0,0,1,1,0,2017/11/01,2017/12/02
3418,0,0,0,0,0,1,0,2017/10/02,2017/10/14
3477,0,0,0,0,0,0,1,2017/11/05,2017/11/26
3425,0,0,0,0,0,1,0,2017/10/21,2017/12/02
3420,1,1,1,1,1,0,0,2017/09/13,2017/09/22
3423,1,1,1,1,1,0,0,2017/10/09,2017/10/31
3478,1,1,1,1,0,0,0,2017/11/06,2017/11/30
3505,1,1,1,1,0,0,0,2017/09/04,2017/11/30
3502,1,1,1,1,0,0,0,2017/09/18,2017/09/28
3503,1,1,1,1,0,0,0,2017/09/04,2017/10/19
3504,1,1,1,1,0,0,0,2017/11/06,2017/11/30
3481,1,1,1,1,1,1,1,2017/09/05,2017/10/15
3483,1,1,1,1,1,1,1,2017/10/20,2017/12/02
3482,1,1,1,1,0,0,0,2017/09/18,2017/10/05
3485,1,1,0,1,0,0,0,2017/10/30,2017/11/02
3484,1,1,0,0,0,0,0,2017/10/23,2017/10/24
3486,0,0,0,0,0,1,1,2017/09/09,2017/11/26
3487,1,1,1,1,1,0,0,2017/09/04,2017/12/01
2726,0,0,0,0,0,0,1,2017/11/19,2017/11/26
3573,0,0,0,0,1,0,0,2017/10/09,2017/11/05
3494,1,1,1,1,0,0,0,2017/10/23,2017/11/02
