Arc-et-Senans,N,O,850000,1.0,Arc-et-Senans,Doubs,47.0302718235, 5.77675649671
Les Longevilles-Rochejean,N,O,850000,1.0,Longevilles-Mont-d'Or,Doubs,46.7525483509, 6.30472053461
Mesnay-Arbois,N,N,850000,1.0,Arbois,Jura,46.911719041, 5.79664699671
Pont-d'Héry,N,N,850000,1.0,Pont-d'Héry,Jura,46.8790741214, 5.88773538034
St-Vit,O,O,852000,1.0,St-Vit,Doubs,47.1836475633, 5.80899287259
Dannemarie-Velesmes,N,O,852000,1.0,Dannemarie-sur-Crète,Doubs,47.2038732135, 5.87377866915
Baume-les-Dames,N,O,852000,1.0,Baume-les-Dames,Doubs,47.3540637651, 6.35933170407
Héricourt,O,O,852000,1.0,Héricourt,Haute-Saône,47.5729094004, 6.76937906867
Orchamps (Jura),N,O,852000,1.0,Orchamps,Jura,47.1501979102, 5.65907370905
Ranchot,N,O,852000,1.0,Ranchot,Jura,47.1526560438, 5.72474680984
Belfort,O,O,854000,1.0,Belfort,Territoire-de-Belfort,47.6312714754, 6.85475551846
Morvillars,O,N,854000,1.0,Morvillars,Territoire-de-Belfort,47.5496586861, 6.93547704197
Besançon-Viotte,O,O,856000,1.0,Besançon,Doubs,47.2472018327, 6.0215701193
Lure,O,O,857000,1.0,Lure,Haute-Saône,47.6829734793, 6.49257625348
Dijon-Ville,O,O,860000,1.0,Dijon,Côte-d'Or,47.3230160581, 5.02714255942
St-Bonnet-en-Bresse,N,N,860000,1.0,St-Bonnet-en-Bresse,Saône-et-Loire,46.8694137689, 5.1599559057
Ste-Croix,N,N,860000,1.0,Ste-Croix,Saône-et-Loire,46.5776892233, 5.25097521467
Tavaux-Solvay,O,N,865000,1.0,Tavaux,Jura,47.0423635641, 5.41549560161
Chagny,N,O,865000,1.0,Chagny,Saône-et-Loire,46.9072494006, 4.74932439942
Seurre,O,O,867000,1.0,Seurre,Côte-d'Or,46.9963897141, 5.15125733486
Chalon-sur-Saône,O,O,867000,1.0,Chalon-sur-Saône,Saône-et-Loire,46.781625751, 4.84261525403
Chemin-Peseux,O,N,868000,1.0,Longwy-sur-le-Doubs,Jura,46.994757839, 5.34442586752
Parcey,N,N,869000,1.0,Parcey,Jura,47.0232062458, 5.49576022298
Souvans,N,N,869000,1.0,Souvans,Jura,47.0001283626, 5.54249467794
Mont-sous-Vaudrey,N,N,869000,1.0,Mont-sous-Vaudrey,Jura,46.9841641185, 5.59684261237
Poligny,N,O,869000,1.0,Poligny,Jura,46.8434030009, 5.69903087674
Arc-et-Senans,N,O,871000,1.0,Arc-et-Senans,Doubs,47.0302718235, 5.77675649671
Morre,N,O,872000,1.0,Morre,Doubs,47.2258221677, 6.0675255272
Mamirolle,N,O,872000,1.0,Mamirolle,Doubs,47.200180213, 6.16229600237
Avoudrey,N,O,872000,1.0,Avoudrey,Doubs,47.1298142562, 6.43468122935
La Rivière,N,O,875000,1.0,La Rivière-Drugeon,Doubs,46.8701104309, 6.21333625811
Oyonnax,N,O,878000,1.0,Oyonnax,Ain,46.2595530628, 5.65314248818
Bellignat,N,O,878000,1.0,Bellignat,Ain,46.2389394581, 5.63050188025
La Chaumusse-Fort-du-Plasne,N,O,878000,1.0,La Chaumusse,Jura,46.6050201487, 5.96136316521
St-Lothain,N,O,880000,1.0,St-Lothain,Jura,46.8231072293, 5.64381019985
Chalon-sur-Saône,O,O,882000,1.0,Chalon-sur-Saône,Saône-et-Loire,46.781625751, 4.84261525403
Vonnas,N,O,883000,1.0,Vonnas,Ain,46.2272484383, 4.99181965991
Pont-de-Veyle,N,O,883000,1.0,Crottet,Ain,46.2689147073, 4.89089286118
Mâcon-Ville,O,O,883000,1.0,Mâcon,Saône-et-Loire,46.3027590622, 4.82454635373
Cize-Bolozon,N,O,884000,1.0,Bolozon,Ain,46.2136612976, 5.45374965371
Les Échets,N,O,886000,1.0,Miribel,Ain,45.8744995362, 4.91074526929
Villars-les-Dombes,O,O,886000,1.0,Villars-les-Dombes,Ain,46.0042471278, 5.02830832634
Sathonay-Rillieux,O,O,886000,1.0,Rillieux-la-Pape,Rhône,45.8196971861, 4.87534732158
Culoz,O,O,890000,1.0,Culoz,Ain,45.8428555573, 5.77881481874
Pougny-Chancy,N,O,890000,1.0,Pougny,Ain,46.144777124, 5.96121807409
Ambérieu,O,O,890000,1.0,Ambérieu-en-Bugey,Ain,45.95382302, 5.34238958202
St-Rambert-en-Bugey,N,O,890000,1.0,St-Rambert-en-Bugey,Ain,45.9475252365, 5.43924283662
Tenay-Hauteville,N,O,890000,1.0,Tenay,Ain,45.9222956807, 5.50096031631
Virieu-le-Grand-Belley,N,O,890000,1.0,Virieu-le-Grand,Ain,45.8492419909, 5.65472598063
Genève-Voyageurs,N,O,890000,2.0,Genève-Eaux-Vives,Étranger,46.2117345378, 6.14251825865
Crépieux-la-Pape,N,O,890000,1.0,Rillieux-la-Pape,Rhône,45.8036777337, 4.89257958596
Lyon-St-Clair,N,N,890000,1.0,Caluire-et-Cuire,Rhône,45.7911269655, 4.86211355972
Thoiry,O,N,891000,1.0,Thoiry,Ain,46.2309515776, 5.97994379331
Romilly-sur-Seine,O,O,1000,1.0,Romilly-sur-Seine,Aube,48.5140165719, 3.72858267999
Maizières-la-Grande-Paroisse,N,N,1000,1.0,Maizières-la-Grande-Paroisse,Aube,48.5050242284, 3.78600316992
Rolampont,O,N,1000,1.0,Rolampont,Haute-Marne,47.9487926603, 5.28296312471
Culmont-Chalindrey,O,O,1000,1.0,Chalindrey,Haute-Marne,47.8096865382, 5.44358851757
Vitrey-Vernois,N,N,1000,1.0,Vernois-sur-mance,Haute-Saône,47.8324201705, 5.78115254421
Vesoul,O,O,1000,1.0,Vesoul,Haute-Saône,47.6175576357, 6.15189225956
Genevreuille,N,N,1000,1.0,Genevreuille,Haute-Saône,47.6784256589, 6.38121296761
Ronchamp,N,O,1000,1.0,Ronchamp,Haute-Saône,47.6991120212, 6.62335891507
Champagney,N,O,1000,1.0,Champagney,Haute-Saône,47.7031520138, 6.70147889305
Ballersdorf,N,O,1000,1.0,Ballersdorf,Haut-Rhin,47.620381292, 7.15283388275
Brunstatt,N,O,1000,1.0,Brunstatt,Haut-Rhin,47.7199601325, 7.31445061829
Paris-Est,N,O,1000,1.0,Paris-10,Paris,48.8773708732, 2.35892610772
Flamboin-Gouaix,O,N,1000,1.0,Gouaix,Seine-et-Marne,48.4725062805, 3.29462254439
Les Yvris-Noisy-le-Grand,N,O,1000,1.0,Noisy-le-Grand,Seine-St-Denis,48.8235593715, 2.5790595811
Pantin,O,O,1000,1.0,Pantin,Seine-St-Denis,48.8980677748, 2.40024510438
Trois-Chênes,N,O,1000,1.0,Belfort,Territoire-de-Belfort,47.6471958525, 6.84670112922
Val-de-Fontenay,N,O,1000,1.0,Fontenay-sous-Bois,Val-de-Marne,48.8542005709, 2.48919106482
Nogent-Le Perreux,O,O,1000,1.0,Nogent-sur-Marne,Val-de-Marne,48.8387348274, 2.49408632153
