from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA8768211,StopPoint:DUA76:817,2,336
StopPoint:DUA8754631,StopPoint:DUA76:752,2,336
StopPoint:DUA8754631,StopPoint:DUA76:751,2,336
StopPoint:DUA76:752,StopPoint:DUA8754631,2,336
StopPoint:DUA76:752,StopPoint:DUA76:751,2,252
StopPoint:DUA76:751,StopPoint:DUA8754631,2,336
StopPoint:DUA76:751,StopPoint:DUA76:752,2,252
StopPoint:DUA8738107,StopPoint:DUA76:349,2,336
StopPoint:DUA8738107,StopPoint:DUA76:350,2,336
StopPoint:DUA76:349,StopPoint:DUA8738107,2,336
StopPoint:DUA76:349,StopPoint:DUA76:350,2,252
StopPoint:DUA76:350,StopPoint:DUA8738107,2,336
StopPoint:DUA76:350,StopPoint:DUA76:349,2,252
StopPoint:DUA8738108,StopPoint:DUA76:352,2,336
StopPoint:DUA8738108,StopPoint:DUA76:351,2,336
StopPoint:DUA76:352,StopPoint:DUA8738108,2,336
StopPoint:DUA76:352,StopPoint:DUA76:351,2,252
StopPoint:DUA76:351,StopPoint:DUA8738108,2,336
StopPoint:DUA76:351,StopPoint:DUA76:352,2,252
StopPoint:DUA76:353,StopPoint:DUA76:354,2,252
StopPoint:DUA76:353,StopPoint:DUA8738109,2,336
StopPoint:DUA76:354,StopPoint:DUA76:353,2,252
StopPoint:DUA76:354,StopPoint:DUA8738109,2,336
StopPoint:DUA8738109,StopPoint:DUA76:353,2,336
StopPoint:DUA8738109,StopPoint:DUA76:354,2,336
StopPoint:DUA8738200,StopPoint:DUA76:445,2,336
StopPoint:DUA8738200,StopPoint:DUA76:446,2,336
StopPoint:DUA76:445,StopPoint:DUA8738200,2,336
StopPoint:DUA76:445,StopPoint:DUA76:446,2,252
StopPoint:DUA76:446,StopPoint:DUA8738200,2,336
StopPoint:DUA76:446,StopPoint:DUA76:445,2,252
StopPoint:DUA8775801,StopPoint:DUA8738221,2,252
StopPoint:DUA8738221,StopPoint:DUA8775801,2,252
StopPoint:DUA8738225,StopPoint:DUA76:451,2,336
StopPoint:DUA8738225,StopPoint:DUA76:452,2,336
StopPoint:DUA76:451,StopPoint:DUA8738225,2,336
StopPoint:DUA76:451,StopPoint:DUA76:452,2,252
StopPoint:DUA76:452,StopPoint:DUA8738225,2,336
StopPoint:DUA76:452,StopPoint:DUA76:451,2,252
StopPoint:DUA76:548,StopPoint:DUA76:547,2,252
StopPoint:DUA76:548,StopPoint:DUA8739307,2,336
StopPoint:DUA76:547,StopPoint:DUA76:548,2,252
StopPoint:DUA76:547,StopPoint:DUA8739307,2,336
StopPoint:DUA8739307,StopPoint:DUA76:548,2,336
StopPoint:DUA8739307,StopPoint:DUA76:547,2,336
StopPoint:DUA76:578,StopPoint:DUA76:577,2,252
StopPoint:DUA76:578,StopPoint:DUA8739330,2,336
StopPoint:DUA76:577,StopPoint:DUA76:578,2,252
StopPoint:DUA76:577,StopPoint:DUA8739330,2,336
StopPoint:DUA8739330,StopPoint:DUA76:578,2,336
StopPoint:DUA8739330,StopPoint:DUA76:577,2,336
StopPoint:DUA8739311,StopPoint:DUA76:554,2,336
StopPoint:DUA8739311,StopPoint:DUA76:553,2,336
StopPoint:DUA76:554,StopPoint:DUA8739311,2,336
StopPoint:DUA76:554,StopPoint:DUA76:553,2,252
StopPoint:DUA76:553,StopPoint:DUA8739311,2,336
StopPoint:DUA76:553,StopPoint:DUA76:554,2,252
StopPoint:DUA76:550,StopPoint:DUA76:549,2,252
StopPoint:DUA76:550,StopPoint:DUA8739308,2,336
StopPoint:DUA76:549,StopPoint:DUA76:550,2,252
StopPoint:DUA76:549,StopPoint:DUA8739308,2,336
StopPoint:DUA8739308,StopPoint:DUA76:550,2,336
StopPoint:DUA8739308,StopPoint:DUA76:549,2,336
StopPoint:DUA8738631,StopPoint:DUA8775803,2,252
StopPoint:DUA8775803,StopPoint:DUA8738631,2,276
StopPoint:DUA76:459,StopPoint:DUA76:460,2,252
StopPoint:DUA76:459,StopPoint:DUA8738235,2,336
StopPoint:DUA76:460,StopPoint:DUA76:459,2,252
StopPoint:DUA76:460,StopPoint:DUA8738235,2,336
StopPoint:DUA8738235,StopPoint:DUA76:459,2,336
StopPoint:DUA8738235,StopPoint:DUA76:460,2,336
StopPoint:DUA76:453,StopPoint:DUA76:454,2,252
StopPoint:DUA76:453,StopPoint:DUA8738226,2,336
StopPoint:DUA76:454,StopPoint:DUA76:453,2,252
StopPoint:DUA76:454,StopPoint:DUA8738226,2,336
StopPoint:DUA8738226,StopPoint:DUA76:453,2,336
StopPoint:DUA8738226,StopPoint:DUA76:454,2,336
StopPoint:DUA8727141,StopPoint:DUA76:170,2,336
StopPoint:DUA8727141,StopPoint:DUA76:169,2,336
StopPoint:DUA76:170,StopPoint:DUA8727141,2,336
StopPoint:DUA76:170,StopPoint:DUA76:169,2,252
StopPoint:DUA76:169,StopPoint:DUA8727141,2,336
StopPoint:DUA76:169,StopPoint:DUA76:170,2,252
StopPoint:DUA8711340,StopPoint:DUA76:12,2,336
StopPoint:DUA8711340,StopPoint:DUA76:11,2,336
StopPoint:DUA76:12,StopPoint:DUA8711340,2,336
StopPoint:DUA76:12,StopPoint:DUA76:11,2,252
StopPoint:DUA76:11,StopPoint:DUA8711340,2,336
StopPoint:DUA76:11,StopPoint:DUA76:12,2,252
StopPoint:DUA76:34,StopPoint:DUA76:33,2,252
StopPoint:DUA76:34,StopPoint:DUA8711384,2,336
StopPoint:DUA76:33,StopPoint:DUA76:34,2,252
StopPoint:DUA76:33,StopPoint:DUA8711384,2,336
StopPoint:DUA8711384,StopPoint:DUA76:34,2,336
StopPoint:DUA8711384,StopPoint:DUA76:33,2,336
StopPoint:DUA76:1047,StopPoint:DUA8798870,2,336
StopPoint:DUA76:1047,StopPoint:DUA76:1048,2,252
